REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
taller items, such as gallon containers or bottles 	 should_be_stored_by 	 pushing the front half of the shelf underneath the back half of the shelf
the back half of the shelf 	 by_pushing_the_front_half_of_the_shelf_underneath_reverse 	 taller items, such as gallon containers or bottles
the front half of the shelf 	 by_pushing_reverse 	 taller items, such as gallon containers or bottles
pushing the front half of the shelf underneath the back half of the shelf 	 should_be_stored_by_reverse 	 taller items, such as gallon containers or bottles
taller items, such as gallon containers or bottles 	 by_pushing 	 the front half of the shelf
taller items, such as gallon containers or bottles 	 by_pushing_the_front_half_of_the_shelf_underneath 	 the back half of the shelf
sentence_list_6msmuu 	 talks_about 	 Tilt the shelf at an angle and pull the shelf out.
sentence_list_6msmuu 	 talks_about 	 Lower the front of the shelf so that the shelf hooks drop into the slots.
sentence_list_6msmuu 	 talks_about 	 Make sure that shelves are level from one side to the other.
sentence_list_6msmuu 	 talks_about 	 Failure to do so may result in the shelf falling or spilled food.
sentence_list_n9c3m7 	 talks_about 	 Remove items from on top of the glass cover before removing the glass cover.
sentence_list_n9c3m7 	 talks_about 	 Take care when handling the glass cover.
sentence_list_n9c3m7 	 talks_about 	 There is still a risk of injury if the glass cover is broken, even though the glass cover is tempered glass.
sentence_list_n9c3m7 	 talks_about 	 Take care when removing or assembling the glass cover not to catch hands between the glass cover and the drawers.
Remove items from on top of the glass cover before removing the glass cover. 	 paraphrase 	 items should be removed from on top of the glass cover before removing the glass cover
items should be removed from on top of the glass cover before removing the glass cover 	 talks_about 	 items
items should be removed from on top of the glass cover before removing the glass cover 	 talks_about 	 from on top of the glass cover before removing the glass cover
items 	 should_be_removed 	 from on top of the glass cover before removing the glass cover
Take care when handling the glass cover. 	 talks_about 	 handling the glass cover
Take care when handling the glass cover. 	 talks_about 	 Take care
Take care 	 Synchronous 	 handling the glass cover
handling the glass cover 	 Synchronous 	 Take care
There is still a risk of injury if the glass cover is broken, even though the glass cover is tempered glass. 	 talks_about 	 the glass cover is broken
There is still a risk of injury if the glass cover is broken, even though the glass cover is tempered glass. 	 talks_about 	 There is still a risk of injury, even though the glass cover is tempered glass
There is still a risk of injury , even though the glass cover is tempered glass 	 Condition 	 the glass cover is broken
the glass cover is broken 	 Follows 	 There is still a risk of injury , even though the glass cover is tempered glass
Take care when removing or assembling the glass cover not to catch hands between the glass cover and the drawers. 	 talks_about 	 removing or assembling the glass cover not to catch hands between the glass cover and the drawers
Take care when removing or assembling the glass cover not to catch hands between the glass cover and the drawers. 	 talks_about 	 Take care
Take care 	 Synchronous 	 removing or assembling the glass cover not to catch hands between the glass cover and the drawers
removing or assembling the glass cover not to catch hands between the glass cover and the drawers 	 Synchronous 	 Take care
Take care 	 paraphrase 	 care should be taken
There is still a risk of injury , even though the glass cover is tempered glass 	 talks_about 	 even though the glass cover is tempered glass
There is still a risk of injury , even though the glass cover is tempered glass 	 talks_about 	 There is still a risk of injury
items should be removed from on top of the glass cover before removing the glass cover 	 talks_about 	 on top of the glass cover
items should be removed from on top of the glass cover before removing the glass cover 	 talks_about 	 removing the glass cover
items 	 should_be_removed_from 	 on top of the glass cover
removing the glass cover 	 should_be_removed_from_on_top_of_the_glass_cover_before_reverse 	 items
items 	 should_be_removed_from_on_top_of_the_glass_cover_before 	 removing the glass cover
on top of the glass cover 	 should_be_removed_from_reverse 	 items
sentence_list_s2rbcd 	 talks_about 	 Lift the front of one drawer to remove one drawer from one drawer guides and pull straight out.
sentence_list_s2rbcd 	 talks_about 	 Repeat to remove the second drawer.
sentence_list_s2rbcd 	 talks_about 	 Lift the front of the cover with one hand and support underneath the cover with the other hand.
sentence_list_s2rbcd 	 talks_about 	 Tilt the cover 45 degrees and pull the cover forward to remove the cover.
Lift the front of one drawer to remove one drawer from one drawer guides and pull straight out. 	 paraphrase 	 the front of one drawer should be lifted to remove one drawer from one drawer guides and pull straight out
the front of one drawer should be lifted to remove one drawer from one drawer guides and pull straight out 	 talks_about 	 the front of one drawer
the front of one drawer should be lifted to remove one drawer from one drawer guides and pull straight out 	 talks_about 	 to remove one drawer from one drawer guides and pull straight out
the front of one drawer 	 should_be_lifted 	 to remove one drawer from one drawer guides and pull straight out
Lift the front of the cover with one hand and support underneath the cover with the other hand. 	 paraphrase 	 the front of the cover should be lifted with one hand and support underneath the cover with the other hand
the front of the cover should be lifted with one hand and support underneath the cover with the other hand 	 talks_about 	 the front of the cover
the front of the cover should be lifted with one hand and support underneath the cover with the other hand 	 talks_about 	 with one hand and support underneath the cover with the other hand
the front of the cover 	 should_be_lifted 	 with one hand and support underneath the cover with the other hand
the front of one drawer should be lifted to remove one drawer from one drawer guides and pull straight out 	 talks_about 	 straight out
the front of one drawer should be lifted to remove one drawer from one drawer guides and pull straight out 	 talks_about 	 remove one drawer from one drawer guides
the front of one drawer should be lifted to remove one drawer from one drawer guides and pull straight out 	 talks_about 	 pull straight out
straight out 	 to_pull_reverse 	 the front of one drawer
the front of one drawer 	 to_pull 	 straight out
remove one drawer from one drawer guides 	 should_be_lifted_to_reverse 	 the front of one drawer
the front of one drawer 	 should_be_lifted_to 	 remove one drawer from one drawer guides
the front of one drawer 	 should_be_lifted_to 	 pull straight out
pull straight out 	 should_be_lifted_to_reverse 	 the front of one drawer
sentence_list_ow1srr 	 talks_about 	 Hold the cover at a 45-degree angle and insert the cover into the refrigerator.
sentence_list_ow1srr 	 talks_about 	 Supporting the cover with one hand, bring the cover to a horizontal position and lower the cover onto the guides.
sentence_list_ow1srr 	 talks_about 	 Push the cover back into place.
sentence_list_ow1srr 	 talks_about 	 Tilt up the front of one drawer and insert the rollers into the side guides.
sentence_list_ow1srr 	 talks_about 	 Lower one drawer and push one drawer in.
sentence_list_ow1srr 	 talks_about 	 Repeat with second drawer.
Push the cover back into place. 	 paraphrase 	 the cover should be pushed back into place
the cover should be pushed back into place 	 talks_about 	 the cover
the cover should be pushed back into place 	 talks_about 	 back into place
the cover 	 should_be_pushed 	 back into place
Supporting the cover with one hand, bring the cover to a horizontal position and lower the cover onto the guides. 	 talks_about 	 Supporting the cover with one hand
Supporting the cover with one hand, bring the cover to a horizontal position and lower the cover onto the guides. 	 talks_about 	 the cover
Supporting the cover with one hand, bring the cover to a horizontal position and lower the cover onto the guides. 	 talks_about 	 a horizontal position
Supporting the cover with one hand 	 bring 	 the cover
Supporting the cover with one hand 	 bring_the_cover_to 	 a horizontal position
the cover 	 bring_reverse 	 Supporting the cover with one hand
a horizontal position 	 bring_the_cover_to_reverse 	 Supporting the cover with one hand
back into place 	 should_be_pushed_reverse 	 the cover
sentence_list_eb2gxt 	 talks_about 	 Door Bins are removable for easy cleaning and adjustment.
Door Bins are removable for easy cleaning and adjustment. 	 talks_about 	 removable for easy adjustment
Door Bins are removable for easy cleaning and adjustment. 	 talks_about 	 Door Bins
Door Bins are removable for easy cleaning and adjustment. 	 talks_about 	 removable for easy cleaning
removable for easy adjustment 	 are_reverse 	 Door Bins
Door Bins 	 are 	 removable for easy cleaning
Door Bins 	 are 	 removable for easy adjustment
removable for easy cleaning 	 are_reverse 	 Door Bins
sentence_list_bpcqoq 	 talks_about 	 To remove the bin, simply lift the bin up and pull straight out.
